Item number,Normal description,Vintage,Item notes,Size description,Long description,Units per case,Unit retail,Pack retail,Units per pack,(Warm) Case retail,Quantity on hand,Most recent upc code,Department name,Group name,Sub-departmentname,Primary vendor,Proof,Tax flag,Unit sale retail,Case sale retail,Date sale starts,Date sale ends,Tasting/other notes,Country of origin,Region,Sub region #1,Sub region #2,Grape,Color,Classification,Wine Maker,Winery,Special rating,Parker rating,Other Rating,Featured Item? Y/N ,Web Address of product,Invoice Cost per Bottle,Sale Type Code (standard) ,Pack Sale Price,Full Case Discount ,Mixed Case Discount,Web selling Threshold(Max),Web Groupings,Web unit Price,Web Pack price,Web Case Price,Web Unit Sale,Web Pack Sale,Web Case Sale,Web Sale Type,Web Sale Starting Date,Web Sale Ending Date,Number units on openPO’s,Points,Web Code,Available to Sell,Continent,Vineyard,Item Flags,On C/O,Full Bar Code (Prefix,Data,Suffix),Date Item Inserted,URL of Item Image,Location,Wine Condition,Gross Weight of product (forshipping),Tax Rate,Imported Item Number(conversions),Reserved 71,Reserved 72,Reserved 73,Reserved 74,Reserved 75,Reserved 76,Reserved 77,Reserved 78,Reserved 79,Reserved 80,Reserved 81
00021,REAL SANGRIA,,,750ML,10076,12,5.99,0.00,1,0.00,19,8832034103,SPECIALTY WINE,WINE,FRUIT WINE,0000058,0.00,Y,,,,,,,,,,,,,,,,,2.90,N,,4.4442,,0.00,10,10,,,,,280.69,,,,,,,0,,,19,,,ALOSVDIKbW,0,088320341034,2010-10-26,,,,1,5.0000,,,,,,,,,,,,
00022,MEUKOW VS COGNAC,,,750ML,10080,12,19.99,0.00,1,0.00,85,8066011052,LIQUOR,LIQUOR,COGNAC,0000038,0.00,Y,17.99,,2019-03-08,2020-05-31,,FRANCE,,,,,,VS COGNAC,,,,,3.25,N,,13.4202,L,0.00,,,,,0.00,,766.69,,,,,,,0,,,85,,,ALOISVbW,0,080660110523,2010-10-26,,,,1,5.0000,,,,,,,,,,,,
00025,MARTIN RAY LA MONTANA PINOT NOIR,,,750ML,10084,12,19.99,0.00,1,0.00,7,2972200185,NEW WORLD WINE,WINE,PINOT NOIR,0000023,0.00,Y,16.99,,2019-03-08,2020-05-31,,UNITED STATES,SONOMA COUNTY,,,PINOT NOIR,RED,,,,,,3.00,N,,12.9917,A,0.00,10,10,,,,,1965.49,,,,,,,0,,,7,,,ALOSDIKVbW,0,729722001859,2010-10-26,,,,1,5.0000,,,,,,,,,,,,
00028,KAMCHATKA VODKA,,,1.75L,101,6,11.99,0.00,1,0.00,7,8068616010,LIQUOR,LIQUOR,VODKA,00127,0.00,Y,,,,,,UNITED STATES,KENTUCKY,,,,,STRAIGHT VODKA,,,,,3.90,N,,10.0000,,0.00,,,,,,,151.09,,,,,,,6,,,13,,,ALOSVIKbW,0,080686160106,2010-10-26,,,,0,5.0000,,,,,,,,,,,,
00029,ALLEGRINI VENETO PALAZZO DELLA TORRE,,,750ML,10100,12,17.99,0.00,1,0.00,9,1264302000,OLD WORLD WINE,WINE,ITALIAN WINE,0000039,0.00,Y,,,,,,ITALY,VENETO/FRIULI/NORTHEAST ITALY,,,AMARONE/VALPOLICELLA,RED,,,,,,2.80,N,,13.3350,,0.00,10,10,,,,,97.09,,,,,,,0,,,9,,,bALOISVDW,0,812643020006,2010-10-26,,,,1,5.0000,,,,,,,,,,,,
00030,ZENATO RIPASSA,,,750ML,10107,12,27.99,0.00,1,0.00,11,9870943604,OLD WORLD WINE,WINE,ITALIAN WINE,0000015,0.00,Y,,,,,,ITALY,VENETO/FRIULI/NORTHEAST ITALY,,,AMARONE/VALPOLICELLA,RED,,,,,,3.10,N,,21.4242,,0.00,10,10,,,,,118.69,,,,,,,0,,,11,,,bALOISVDW,0,098709436046,2010-10-26,,,,1,5.0000,,,,,,,,,,,,
00039,SMIRNOFF BLUE 100[PROOF],,,375ML,1014,24,9.49,0.00,1,0.00,11,825620,LIQUOR,LIQUOR,VODKA,0000064,0.00,Y,,,,,,UNITED STATES,CONNECTICUT,,,,,STRAIGHT VODKA,,,,,0.85,N,,6.9946,,0.00,,,,,,,215.89,,,,,,,0,,,11,,,ALOSVIKbW,0,08256209,2010-10-26,,,,0,5.0000,,,,,,,,,,,,
00042,MACANUDO CAFE HAMPTON COURT,,,SINGL,10146,25,9.99,0.00,1,209.99,48,8967401474,TOBACCO,TOBACCO,CIGARS,00000134,0.00,Y,,,,,,DOMINICAN REPUBLIC,,MILD,CONNECTICUT,,,,,,,,1.90,N,,7.4448,,0.00,,,,,,,,,,,,,,0,,,48,,,ALOSVIKbW,0,689674014744,2010-10-26,,,,,5.0000,,,,,,,,,,,,
00043,MACANUDO CAFE HYDE PARK,,,SINGL,10148,25,11.49,0.00,1,0.00,33,8967402362,TOBACCO,TOBACCO,CIGARS,00000134,0.00,Y,,,,,,DOMINICAN REPUBLIC,,MILD,CONNECTICUT,,,,,,,,1.45,N,,7.7148,,0.00,,,,,,,,,,,,,,0,,,33,,,ALOSVIKbW,0,689674023623,2010-10-26,,,,,5.0000,,,,,,,,,,,,
00046,SMIRNOFF VODKA 80 [PROOF],,,200ML,1016,48,3.99,0.00,1,0.00,25,820080,LIQUOR,LIQUOR,VODKA,0000064,0.00,Y,,,,,,UNITED STATES,CONNECTICUT,,,,,STRAIGHT VODKA,,,,,0.50,N,,3.2048,,0.00,,,,,,,,,,,,,,0,,,25,,,ALOSVIKbW,0,08200802,2010-10-26,,,,0,5.0000,,,,,,,,,,,,
